"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"FPS","AUS","Capacity","Electricity generation","Coal","Power","GW",24.37481146,24.25478455,24.08160746,23.83701949,23.49080353,23.00930574,22.35159331,21.48177893,20.36820068,18.98100432,17.33240916,14.7157691,12.15948094,9.789934715,7.703293359,5.945549603,4.513818123,3.381783987,2.507180302,1.842914695,0,0,0,0,0,0,0,0,0,0,0
"FPS","BRA","Capacity","Electricity generation","Coal","Power","GW",4.710473788,4.773929299,4.823441474,4.855128907,4.861903778,4.846879062,4.801237434,4.732069374,4.636354594,4.515445407,4.358927617,4.023441401,3.652988487,3.259456061,2.857910797,2.463418277,2.086335774,1.739863013,1.430761896,1.162030409,0.933736535,0.742682775,0.586101772,0.459396943,0.358005525,0,0,0,0,0,0
"FPS","CAN","Capacity","Electricity generation","Coal","Power","GW",9.715360772,9.558266289,9.260387937,8.716203817,7.796734172,6.432431031,4.766291708,3.143802177,1.87584903,1.043527245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","CHN","Capacity","Electricity generation","Coal","Power","GW",1253.276355,1265.838624,1276.716585,1285.071858,1291.514486,1295.091508,1285.100917,1273.882493,1261.219005,1247.048787,1231.579003,1172.617195,1111.427189,1047.455585,980.0255564,909.0144689,830.909912,749.4602528,664.7420324,576.7773169,486.0585724,391.8356063,295.7403458,198.1701885,99.48905552,0,0,0,0,0,0
"FPS","CSA","Capacity","Electricity generation","Coal","Power","GW",13.56100315,13.88513181,14.17871549,14.40998508,14.57759866,14.67329597,14.67040027,14.60682016,14.46754984,14.23898077,13.89945032,13.06785608,12.07825008,10.96156826,9.764609355,8.541705489,7.333253999,6.191339819,5.147820411,4.221924195,3.421856697,2.74287533,2.17914691,1.718208156,1.345974067,0,0,0,0,0,0
"FPS","EEU","Capacity","Electricity generation","Coal","Power","GW",52.31917013,52.05410314,51.70186118,51.20889776,50.48217506,49.50346984,48.10995611,46.27334064,43.89614836,40.95313189,37.47336467,31.90233927,26.4342558,21.32561844,16.77981686,12.91460385,9.749731214,7.248386243,5.322563675,3.868264715,0,0,0,0,0,0,0,0,0,0,0
"FPS","EURA","Capacity","Electricity generation","Coal","Power","GW",38.28643985,39.54172935,40.7928366,42.03383423,43.1603803,44.25009103,44.96763979,45.57631112,46.05756478,46.38438881,46.56410568,46.30171246,45.860261,45.21209423,44.35782828,43.28177283,41.85303699,40.216991,38.37916198,36.35643123,34.17750898,31.78878833,29.34132403,26.88199679,24.43601797,22.06147752,19.753362,17.57465848,15.53404989,13.64357818,11.9163289
"FPS","GCC","Capacity","Electricity generation","Coal","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","IND","Capacity","Electricity generation","Coal","Power","GW",229.7674138,229.9508186,230.1898994,230.4181985,230.5332588,230.4922598,230.5255557,230.5228793,230.489793,230.4338827,230.3696442,229.8490185,228.4426383,226.7275041,224.8200454,222.8595248,221.8983019,219.3041653,214.9430709,208.7296898,200.7423907,190.6447192,179.2485046,166.8896789,153.9691363,140.7952137,127.4182432,114.3444294,101.937221,90.21476742,79.34580312
"FPS","IDN","Capacity","Electricity generation","Coal","Power","GW",35.78998838,39.00204272,42.4294285,46.06561794,49.87604581,53.84489324,57.22507708,60.65125772,64.06938478,67.41094899,70.60138679,72.73011226,74.56087178,75.99713365,76.94918976,77.33675586,76.77811981,75.54714143,73.61813701,71.00474394,67.76664429,63.76911133,59.39061568,54.75464494,49.98543913,45.2041591,40.39073304,35.75383311,31.41098878,27.40841366,23.77017048
